split,video,path
test,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000003.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000080.jpg
test,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000082.jpg
test,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000067.jpg
test,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000090.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000082.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000004.jpg
test,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000035.jpg
test,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000018.jpg
test,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000005.jpg
test,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000003.jpg
test,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000093.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000102.jpg
test,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000076.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000014.jpg
test,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000047.jpg
test,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000012.jpg
test,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000004.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000048.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000016.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000017.jpg
test,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000005.jpg
test,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000091.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000045.jpg
test,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000068.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000053.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000072.jpg
test,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000007.jpg
test,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000018.jpg
test,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000033.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000013.jpg
test,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000058.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000054.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000011.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000051.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000020.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000096.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000073.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000025.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000038.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000102.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000060.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000038.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000094.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000055.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000096.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000027.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000082.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000029.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000098.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000049.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000025.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000002.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000017.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000061.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000078.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000039.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000083.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000095.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000027.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000107.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000077.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000057.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000006.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000037.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000036.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000064.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000070.jpg
train,lasercmt3.5y-1,data\frames\lasercmt3.5y-1\lasercmt3.5y-1_000092.jpg
train,lasercmt3.5y,data\frames\lasercmt3.5y\lasercmt3.5y_000077.jpg
train,lasercmt3.5x,data\frames\lasercmt3.5x\lasercmt3.5x_000049.jpg
